8.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
8.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
9.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
10.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
11.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
12.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
13.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
14.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.96,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
15.98,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.02,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.04,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.06,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.08,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.1,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.12,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.14,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.16,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.18,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.2,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.22,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.24,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.26,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.28,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.3,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.32,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.34,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.36,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.38,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.4,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.42,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.44,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.46,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.48,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.5,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.52,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.54,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.56,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.58,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.6,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.62,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.64,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.66,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.68,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.7,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.72,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.74,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.76,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.78,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.8,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.82,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.84,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.86,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.88,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.9,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.92,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
16.94,	-3.128089666	-0.03639203683	-1.910630465	0	0	0
